Description,English Text,Spanish,Russian,Brazilian-Portugese,French,German,Swedish,Pirate Speak,,
Rogue (ending),"""I see now..""","""Ya veo...""","""Теперь я вижу""","""Agora eu vejo...""","""Je vois maintenant..""","""Ich sehe es jetzt... ""","""Jag kan se det nu""","""Me visions are clear now...""",,""""""
,"""The darkness had clouded my mind..""","""La oscuridad me nubló la mente.""","""Тьма затуманила мой разум""","""A escuridão nublou minha mente.""","""L'obscurité avait troublé mon esprit..""","""Die Dunkelheit hatte meinen Geist benebelt. ""","""Mörkret hade fördunklat mitt sinne...""","""The devil's been cloudin' me thoughts""",,""""""
,"""My visions were nothing but shadows.""","""Mis visiones fueron nada más que sombras.""","""Мои видения были лишь тенями""","""Minhas visões não eram nada além de sombras.""","""Mes visions n'étaient rien d'autre que des ombres.""","""Meine Visionen waren nichts als Schatten. ""","""Mina uppenbarelser var endast skuggor""","""I've been seein' double for too long""",,""""""
,"""I can dream in light now.""","""Puedo soñar con la luz ahora.""","""Теперь я могу спать спокойно.""","""Eu posso sonhar com a luz agora.""","""Je peux rêver de lumière maintenant.""","""Nun kann ich wieder vom Licht träumen.""","""Nu kan jag drömma i ljus.""","""Guess I'll need to lay off the ale, eh?""",,""""""
,"""Thank You.""","""Gracias.""","""Спасибо.""","""Obrigado.""","""Merci.""","""Danke. ""","""Tack så mycket.""","""Cheers, mate!""",,""""""
More menu stuff,"""Hide GUI""","""Ocultar interfaz""","""Скрыть интерфейс""","""Ocultar Interface""","""Cacher l'interface ""","""Benutzeroberfläche ausblenden""","""Göm GUI""","""Hide yer map""",,""""""
,"""Delete Save File""","""Eliminar el archivo guardado,""","""Удалить сохранения""","""Apagar arquivo salvo""","""Supprimer la sauvegarde ""","""Speicherstand löschen""","""Ta bort sparad fil.""","""Maroon yer save data""",,""""""
,"""Are you sure??""","""¿¿Estás seguro/segura??""","""Вы уверены??""","""Tem certeza??""","""Tu es sûr?? ""","""Bist du dir sicher?? ""","""Är du säker??""","""Ya sure, mate??""",,""""""
Compass,"""Compass Unlocked!""","""¡Brújula desbloqueada!""","""Компас Разблокирован!""","""Bússola desbloqueada!""","""Boussole débloquée!""","""Kompass freigeschaltet! ""","""Compassen är Upplåst!""","""ya got th' compass!""",,""""""
,"""White Arrow points North""","""La flecha blanca apunta hacia el norte.""","""Белая Стрелка указывает на Север""","""A seta branca aponta pro norte""","""La Fléche Blanche pointe vers le Nord""","""Der weiße Pfeil zeigt nach Norden.""","""Den vita pilen pekar mot norr.""","""Tha arrow points north, mate!""",,""""""
Boy - Shadow Defeated,"""I think I remember the way home now.""","""Creo que recuerdo el camino a casa ahora.""","""Кажется я вспомнил путь домой""","""Acho agora eu lembro do caminho de casa.""","""Je pense que je me rappelle du chemin de retour maintenant.""","""Ich denke, ich erinnere mich jetzt wieder an den Heimweg.""","""Jag tror jag minns vägen hem nu.""","""I think I rememb'r me way home now...""",,""""""
,"""But i'll stay a little longer skele.""","""Pero me quedare un poco más, Skele.""","""Но я останусь еще ненадолго, Скеле.""","""Mas eu vou ficar um pouco mais, Skele.""","""Mais je vais rester un peu plus longtemps Skele.""","""Aber ich werde noch etwas bleiben, Skele. ""","""Men jag kommer stanna lite längre Skele.""","""But I think I'll stay put a while longer, eh rattlebones?""",,""""""
Witch - Shadow Defeated,"""I can't feel the darkness anymore.""","""Ya no siento la oscuridad.""","""Я больше не чувствую присутствия тьмы""","""Eu não consigo mais sentir a escuridão.""","""Je ne peux plus sentir l'obscurité.""","""Ich kann die Dunkelheit nicht mehr spüren. ""","""Jag kan inte känna mörkret längre.""","""Ay, I can't feel th' bilge no more.""",,""""""
,"""I'll practice safer magic from now on!""","""¡Practicaré magia más segura ahora!""","""С этого момента буду практиковать только безопасную магию!""","""Eu vou praticar magia mais segura de agora em diante!""","""Je vais pratiquer une magie plus sûre à partir de maintenant!""","""Von jetzt an werde ich ungefährlichere Magie verwenden!""","""Jag ska vara mer försiktig med magi från och med nu!""","""Yo ho! I'll practice safe witchcraft from now on!""",,""""""
Enter Dark tutorial (xbox),"""'Y' button to enter""","""«Y» para entrar""","""""Y"" для Подтвердить""","""Y' para entrar.""","""""Y"" pour se entrer""","""»Y« zum los""","""Tryck 'Y' för att börja""","""Mash th' ""Y"" button ta entar""",,""""""
Enter Dark tutorial (playstation),"""Triangle button to enter""","""«Triangulo» para entrar""","""""Треугольник"" для Подтвердить""","""Triângulo para entrar.""","""""Triangle"" pour se entrer""","""»Dreieck« zum los""","""Tryck 'Trekant' för att börja""","""Mash th' ""Y"" button ta entar""",,""""""
Enter Dark tutorial (pc),"""Shift to enter""","""«Shift» para entrar""","""Shift для Подтвердить""","""Shift para entrar.""","""""Shift"" pour se entrer""","""»Shift« zum los""","""Tryck 'Shift' för att börja""","""Mash th' ""Shift"" button ta entar""",,""""""
,"""""","""Entrar""","""Подтвердить""","""Entrar""","""Entrer ""","""Los""","""Börja""","""Set Sail""",,""""""
,"""""",,,"""""","""""",,"""""","""""",,""""""
,,,,"""""",,,,,,""""""
,,,,"""""",,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
